phen,Num,log10Num,num_seg,C_score,Nloci
0.7,12033222880,10.0803819608015,62,19.441668492289,4%
0.6,23206929840,10.3656176892823,57,22.2281879733726,4%
0.7,12033222880,10.0803819608015,57,20.3969156476823,4%
0.7,12033222880,10.0803819608015,58,16.7279969644224,4%
0.7,12033222880,10.0803819608015,58,17.073866472259,4%
0.7,12033222880,10.0803819608015,58,20.112962883775,4%
0.6,23206929840,10.3656176892823,53,17.6445406636621,4%
0.7,12033222880,10.0803819608015,53,14.7894481278081,4%
0.7,12033222880,10.0803819608015,54,16.9640092614731,4%
0.7,12033222880,10.0803819608015,64,19.3157957392047,4%
0.6,23206929840,10.3656176892823,59,15.54812747645,4%
0.7,12033222880,10.0803819608015,59,17.9045759825945,4%
0.7,12033222880,10.0803819608015,60,18.7552450764825,4%
0.6,23206929840,10.3656176892823,59,18.0604082903922,4%
0.7,12033222880,10.0803819608015,59,20.5168809059955,4%
0.7,12033222880,10.0803819608015,60,17.7780923918643,4%
0.6,23206929840,10.3656176892823,54,20.5076956417823,4%
0.6,23206929840,10.3656176892823,55,20.1211840419493,4%
